Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date,just_date
2008-01-09 00:00:00-05:00,9.419468962005428,9.527196883469397,8.919544036329878,9.276392936706543,26118800,0.0,0.0,2008-01-09 00:00:00-05:00,2008-01-09
2008-01-10 00:00:00-05:00,9.111434038508943,9.266292757638581,8.45833274340662,8.798349380493164,40060000,0.0,0.0,2008-01-10 00:00:00-05:00,2008-01-10
2008-01-11 00:00:00-05:00,8.752901076598054,9.005388607653767,8.685570811472932,8.773099899291992,19846000,0.0,0.0,2008-01-11 00:00:00-05:00,2008-01-11
2008-01-14 00:00:00-05:00,8.81013111284682,9.086184028507292,8.800031381014499,9.040736198425293,13277600,0.0,0.0,2008-01-14 00:00:00-05:00,2008-01-14
2008-01-15 00:00:00-05:00,8.996970112250782,8.996970112250782,8.466746180027245,8.552592277526855,15774400,0.0,0.0,2008-01-15 00:00:00-05:00,2008-01-15
2008-01-16 00:00:00-05:00,8.32872088643639,8.727650954897108,8.32872088643639,8.63675594329834,19882400,0.0,0.0,2008-01-16 00:00:00-05:00,2008-01-16
2008-01-17 00:00:00-05:00,8.646857494103482,9.030639038319494,8.310207399733459,8.369121551513672,18054400,0.0,0.0,2008-01-17 00:00:00-05:00,2008-01-17
2008-01-18 00:00:00-05:00,8.42803400702523,8.749534781251644,8.256342403318227,8.301790237426758,15501200,0.0,0.0,2008-01-18 00:00:00-05:00,2008-01-18
2008-01-22 00:00:00-05:00,7.842263794874247,8.596359911982365,7.534228657350501,8.495365142822266,24653200,0.0,0.0,2008-01-22 00:00:00-05:00,2008-01-22
2008-01-23 00:00:00-05:00,8.263075342870396,8.77309995326583,8.03751978805527,8.761317253112793,23099200,0.0,0.0,2008-01-23 00:00:00-05:00,2008-01-23
2008-01-24 00:00:00-05:00,8.828647141416218,8.9178591936513,8.586258709518678,8.823596954345703,14777600,0.0,0.0,2008-01-24 00:00:00-05:00,2008-01-24
2008-01-25 00:00:00-05:00,8.926274678503736,9.008754212269634,8.308522227443884,8.348919868469238,14676800,0.0,0.0,2008-01-25 00:00:00-05:00,2008-01-25
2008-01-28 00:00:00-05:00,8.343873489830262,8.522298291368237,8.081286155094796,8.508831977844238,10268000,0.0,0.0,2008-01-28 00:00:00-05:00,2008-01-28
2008-01-29 00:00:00-05:00,8.547547268960358,8.547547268960358,8.263078117847211,8.360706329345703,9950400,0.0,0.0,2008-01-29 00:00:00-05:00,2008-01-29
2008-01-30 00:00:00-05:00,8.335455373746047,8.428034009726124,8.130098636325172,8.261392593383789,9477600,0.0,0.0,2008-01-30 00:00:00-05:00,2008-01-30
2008-01-31 00:00:00-05:00,8.146931663690756,8.81013204705584,8.11494949721823,8.678838729858398,12497200,0.0,0.0,2008-01-31 00:00:00-05:00,2008-01-31
2008-02-01 00:00:00-05:00,8.727654043737198,8.914494961781214,8.635075389799924,8.840432167053223,8606400,0.0,0.0,2008-02-01 00:00:00-05:00,2008-02-01
2008-02-04 00:00:00-05:00,9.12153264148093,9.25619317174152,8.744484954656471,8.752901077270508,9960000,0.0,0.0,2008-02-04 00:00:00-05:00,2008-02-04
2008-02-05 00:00:00-05:00,8.584577096452795,8.74280240393403,8.308524131774902,8.308524131774902,8459200,0.0,0.0,2008-02-05 00:00:00-05:00,2008-02-05
2008-02-06 00:00:00-05:00,8.380903421880584,8.561011153129225,8.254659649017944,8.29505729675293,10170800,0.0,0.0,2008-02-06 00:00:00-05:00,2008-02-06
2008-02-07 00:00:00-05:00,8.210894102503174,8.372486606407167,7.946623877866859,8.276540756225586,11981600,0.0,0.0,2008-02-07 00:00:00-05:00,2008-02-07
2008-02-08 00:00:00-05:00,8.247922740234236,8.557640681062075,8.151977567890006,8.456645965576172,7503600,0.0,0.0,2008-02-08 00:00:00-05:00,2008-02-08
